id,word,traditional,pinyin,pos,level,lexical_pattern,default_surface_pattern,sandhi_tags,surface_label_needs_clip_review,forvo_url
L1-0041,唱歌,唱歌,chànggē,,1,4-1,4-1,,False,https://forvo.com/word/唱歌/#zh
L1-0042,车,車,chē,N,1,1,1,,False,https://forvo.com/word/车/#zh
L1-0043,车票,車票,chēpiào,N,1,1-4,1-4,,False,https://forvo.com/word/车票/#zh
L1-0044,车上,車上,chē shang,,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/车上/#zh
L1-0045,车站,車站,chēzhàn,N,1,1-4,1-4,,False,https://forvo.com/word/车站/#zh
L1-0046,吃,吃,chī,V,1,1,1,,False,https://forvo.com/word/吃/#zh
L1-0047,吃饭,吃飯,chīfàn,,1,1-4,1-4,,False,https://forvo.com/word/吃饭/#zh
L1-0048,出,出,chū,V,1,1,1,,False,https://forvo.com/word/出/#zh
L1-0049,出来,出來,chūlái,,1,1-2,1-2,,False,https://forvo.com/word/出来/#zh
L1-0050,出去,出去,chūqù,,1,1-4,1-4,,False,https://forvo.com/word/出去/#zh
L1-0051,穿,穿,chuān,V,1,1,1,,False,https://forvo.com/word/穿/#zh
L1-0052,床,床,chuáng,N,1,2,2,,False,https://forvo.com/word/床/#zh
L1-0053,次,次,cì,M,1,4,4,,False,https://forvo.com/word/次/#zh
L1-0054,从,從,cóng,Prep,1,2,2,,False,https://forvo.com/word/从/#zh
L1-0055,错,錯,cuò,Adj/N,1,4,4,,False,https://forvo.com/word/错/#zh
L1-0056,打,打,dǎ,V,1,3,3,,False,https://forvo.com/word/打/#zh
L1-0057,打车,打車,dǎchē,,1,3-1,3-1,,False,https://forvo.com/word/打车/#zh
L1-0058,打电话,打電話,dǎ diànhuà,,1,3-4-4,3-4-4,,False,https://forvo.com/word/打电话/#zh
L1-0059,打开,打開,dǎkāi,,1,3-1,3-1,,False,https://forvo.com/word/打开/#zh
L1-0060,打球,打球,dǎ qiú,,1,3-2,3-2,,False,https://forvo.com/word/打球/#zh
L1-0061,大,大,dà,Adj,1,4,4,,False,https://forvo.com/word/大/#zh
L1-0062,大学,大學,dàxué,N,1,4-2,4-2,,False,https://forvo.com/word/大学/#zh
L1-0063,大学生,大學生,dàxuéshēng,N,1,4-2-1,4-2-1,,False,https://forvo.com/word/大学生/#zh
L1-0064,到,到,dào,V,1,4,4,,False,https://forvo.com/word/到/#zh
L1-0065,得到,得到,dédào,,1,2-4,2-4,,False,https://forvo.com/word/得到/#zh
L1-0066,地,地,de,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/地/#zh
L1-0067,的,的,de,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/的/#zh
L1-0068,等,等,děng,V,1,3,3,,False,https://forvo.com/word/等/#zh
L1-0069,地,地,dì,N,1,4,4,,False,https://forvo.com/word/地/#zh
L1-0070,地点,地點,dìdiǎn,N,1,4-3,4-3,,False,https://forvo.com/word/地点/#zh
L1-0071,地方,地方,dìfang,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/地方/#zh
L1-0072,地上,地上,dìshang,,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/地上/#zh
L1-0073,地图,地圖,dìtú,N,1,4-2,4-2,,False,https://forvo.com/word/地图/#zh
L1-0074,弟弟,弟弟,dìdi,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/弟弟/#zh
L1-0075,第（第二）,第（第二）,dì (dì-èr),Prefix,1,4,4,,False,https://forvo.com/word/第（第二）/#zh
L1-0076,点,點,diǎn,M/V/N,1,3,3,,False,https://forvo.com/word/点/#zh
L1-0077,电,電,diàn,N,1,4,4,,False,https://forvo.com/word/电/#zh
L1-0078,电话,電話,diànhuà,N,1,4-4,4-4,,False,https://forvo.com/word/电话/#zh
L1-0079,电脑,電腦,diànnǎo,N,1,4-3,4-3,,False,https://forvo.com/word/电脑/#zh
L1-0080,电视,電視,diànshì,N,1,4-4,4-4,,False,https://forvo.com/word/电视/#zh
L1-0081,电视机,電視機,diànshìjī,N,1,4-4-1,4-4-1,,False,https://forvo.com/word/电视机/#zh
L1-0082,电影,電影,diànyǐng,N,1,4-3,4-3,,False,https://forvo.com/word/电影/#zh
L1-0083,电影院,電影院,diànyǐngyuàn,N,1,4-3-4,4-3-4,,False,https://forvo.com/word/电影院/#zh
L1-0084,东,東,dōng,N,1,1,1,,False,https://forvo.com/word/东/#zh
L1-0085,东边,東邊,dōngbian,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/东边/#zh
L1-0086,东西,東西,dōngxi,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/东西/#zh
L1-0087,动,動,dòng,V,1,4,4,,False,https://forvo.com/word/动/#zh
L1-0088,动作,動作,dòngzuò,N,1,4-4,4-4,,False,https://forvo.com/word/动作/#zh
L1-0089,都,都,dōu,Adv,1,1,1,,False,https://forvo.com/word/都/#zh
L1-0090,读,讀,dú,V,1,2,2,,False,https://forvo.com/word/读/#zh
L1-0091,读书,讀書,dúshū,,1,2-1,2-1,,False,https://forvo.com/word/读书/#zh
L1-0092,对,對,duì,Adj,1,4,4,,False,https://forvo.com/word/对/#zh
L1-0093,对不起,對不起,duìbuqǐ,V,1,4-N-3,4-N-3,neutral_tone,False,https://forvo.com/word/对不起/#zh
L1-0094,多,多,duō,Adj/Pron,1,1,1,,False,https://forvo.com/word/多/#zh
L1-0095,多少,多少,duōshao,Pron,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/多少/#zh
L1-0096,饿,餓,è,Adj/V,1,4,4,,False,https://forvo.com/word/饿/#zh
L1-0097,儿子,兒子,érzi,N,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/儿子/#zh
L1-0098,二,二,èr,Num,1,4,4,,False,https://forvo.com/word/二/#zh
L1-0099,饭,飯,fàn,N,1,4,4,,False,https://forvo.com/word/饭/#zh
L1-0100,饭店,飯店,fàndiàn,N,1,4-4,4-4,,False,https://forvo.com/word/饭店/#zh
L1-0101,房间,房間,fángjiān,N,1,2-1,2-1,,False,https://forvo.com/word/房间/#zh
L1-0102,房子,房子,fángzi,N,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/房子/#zh
L1-0103,放,放,fàng,V,1,4,4,,False,https://forvo.com/word/放/#zh
L1-0104,放假,放假,fàngjià,,1,4-4,4-4,,False,https://forvo.com/word/放假/#zh
L1-0105,放学,放學,fàngxué,,1,4-2,4-2,,False,https://forvo.com/word/放学/#zh
L1-0106,飞,飛,fēi,V,1,1,1,,False,https://forvo.com/word/飞/#zh
L1-0107,飞机,飛機,fēijī,N,1,1-1,1-1,,False,https://forvo.com/word/飞机/#zh
L1-0108,非常,非常,fēicháng,Adv,1,1-2,1-2,,False,https://forvo.com/word/非常/#zh
L1-0109,分,分,fēn,N/M,1,1,1,,False,https://forvo.com/word/分/#zh
L1-0110,风,風,fēng,N,1,1,1,,False,https://forvo.com/word/风/#zh
L1-0111,干,乾,gān,Adj,1,1,1,,False,https://forvo.com/word/干/#zh
L1-0112,干净,乾淨,gānjìng,Adj,1,1-4,1-4,,False,https://forvo.com/word/干净/#zh
L1-0113,干,幹,gàn,V,1,4,4,,False,https://forvo.com/word/干/#zh
L1-0114,干什么,幹什麼,gàn shénme,,1,4-2-N,4-2-N,neutral_tone,False,https://forvo.com/word/干什么/#zh
L1-0115,高,高,gāo,Adj,1,1,1,,False,https://forvo.com/word/高/#zh
L1-0116,高兴,高興,gāoxìng,Adj,1,1-4,1-4,,False,https://forvo.com/word/高兴/#zh
L1-0117,告诉,告訴,gàosu,V,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/告诉/#zh
L1-0118,哥哥,哥哥,gēge,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/哥哥/#zh
L1-0119,歌,歌,gē,N,1,1,1,,False,https://forvo.com/word/歌/#zh
L1-0120,个,個,gè,M,1,4,4,,False,https://forvo.com/word/个/#zh
L1-0121,给,給,gěi,V/Prep,1,3,3,,False,https://forvo.com/word/给/#zh
L1-0122,跟,跟,gēn,Prep/Conj/V,1,1,1,,False,https://forvo.com/word/跟/#zh
L1-0123,工人,工人,gōngrén,N,1,1-2,1-2,,False,https://forvo.com/word/工人/#zh
L1-0124,工作,工作,gōngzuò,V/N,1,1-4,1-4,,False,https://forvo.com/word/工作/#zh
L1-0125,关,關,guān,V,1,1,1,,False,https://forvo.com/word/关/#zh
L1-0126,关上,關上,guānshang,,1,1-4,1-4,,False,https://forvo.com/word/关上/#zh
L1-0127,贵,貴,guì,Adj,1,4,4,,False,https://forvo.com/word/贵/#zh
L1-0128,国,國,guó,N,1,2,2,,False,https://forvo.com/word/国/#zh
L1-0129,国家,國家,guójiā,N,1,2-1,2-1,,False,https://forvo.com/word/国家/#zh
L1-0130,国外,國外,guó wài,,1,2-4,2-4,,False,https://forvo.com/word/国外/#zh
L1-0131,过,過,guò,V,1,4,4,,False,https://forvo.com/word/过/#zh
L1-0132,还,還,hái,Adv,1,2,2,,False,https://forvo.com/word/还/#zh
L1-0133,还是,還是,háishi,Adv/Conj,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/还是/#zh
L1-0134,还有,還有,hái yǒu,,1,2-3,2-3,,False,https://forvo.com/word/还有/#zh
L1-0135,孩子,孩子,háizi,N,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/孩子/#zh
L1-0136,汉语,漢語,Hànyǔ,N,1,4-3,4-3,,False,https://forvo.com/word/汉语/#zh
L1-0137,汉字,漢字,Hànzì,N,1,4-4,4-4,,False,https://forvo.com/word/汉字/#zh
L1-0138,好,好,hǎo,Adj,1,3,3,,False,https://forvo.com/word/好/#zh
L1-0139,好吃,好吃,hǎochī,Adj,1,3-1,3-1,,False,https://forvo.com/word/好吃/#zh
L1-0140,好看,好看,hǎokàn,Adj,1,3-4,3-4,,False,https://forvo.com/word/好看/#zh
L1-0141,好听,好聽,hǎotīng,Adj,1,3-1,3-1,,False,https://forvo.com/word/好听/#zh
L1-0142,好玩儿,好玩兒,hǎowánr,Adj,1,3-2-N,3-2-N,neutral_tone,False,https://forvo.com/word/好玩儿/#zh
L1-0143,号,號,hào,N/M,1,4,4,,False,https://forvo.com/word/号/#zh
L1-0144,喝,喝,hē,V,1,1,1,,False,https://forvo.com/word/喝/#zh
L1-0145,和,和,hé,Prep/Conj,1,2,2,,False,https://forvo.com/word/和/#zh
L1-0146,很,很,hěn,Adv,1,3,3,,False,https://forvo.com/word/很/#zh
L1-0147,后,後,hòu,N,1,4,4,,False,https://forvo.com/word/后/#zh
L1-0148,后边,後邊,hòubian,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/后边/#zh
L1-0149,后天,後天,hòutiān,N,1,4-1,4-1,,False,https://forvo.com/word/后天/#zh
L1-0150,花,花,huā,N,1,1,1,,False,https://forvo.com/word/花/#zh
L1-0151,话,話,huà,N,1,4,4,,False,https://forvo.com/word/话/#zh
L1-0152,坏,壞,huài,Adj,1,4,4,,False,https://forvo.com/word/坏/#zh
L1-0153,还,還,huán,V,1,2,2,,False,https://forvo.com/word/还/#zh
L1-0154,回,回,huí,V,1,2,2,,False,https://forvo.com/word/回/#zh
L1-0155,回答,回答,huídá,V/N,1,2-2,2-2,,False,https://forvo.com/word/回答/#zh
L1-0156,回到,回到,huídào,V,1,2-4,2-4,,False,https://forvo.com/word/回到/#zh
L1-0157,回家,回家,huí jiā,,1,2-1,2-1,,False,https://forvo.com/word/回家/#zh
L1-0158,回来,回來,huílái,,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/回来/#zh
L1-0159,回去,回去,huíqù,,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/回去/#zh
L1-0160,会,會,huì,V,1,4,4,,False,https://forvo.com/word/会/#zh
L1-0161,火车,火車,huǒchē,N,1,3-1,3-1,,False,https://forvo.com/word/火车/#zh
L1-0162,机场,機場,jīchǎng,N,1,1-3,1-3,,False,https://forvo.com/word/机场/#zh
L1-0163,机票,機票,jīpiào,N,1,1-4,1-4,,False,https://forvo.com/word/机票/#zh
L1-0164,鸡蛋,雞蛋,jīdàn,N,1,1-4,1-4,,False,https://forvo.com/word/鸡蛋/#zh
L1-0165,几,幾,jǐ,Num/Pron,1,3,3,,False,https://forvo.com/word/几/#zh
L1-0166,记,記,jì,V,1,4,4,,False,https://forvo.com/word/记/#zh
L1-0167,记得,記得,jìde,V,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/记得/#zh
L1-0168,记住,記住,jìzhù,,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/记住/#zh
L1-0169,家,家,jiā,N/M,1,1,1,,False,https://forvo.com/word/家/#zh
L1-0170,家里,家裡,jiā li,,1,1-3,1-3,,False,https://forvo.com/word/家里/#zh
L1-0171,家人,家人,jiārén,N,1,1-2,1-2,,False,https://forvo.com/word/家人/#zh
L1-0172,间,間,jiān,M,1,1,1,,False,https://forvo.com/word/间/#zh
L1-0173,见,見,jiàn,V,1,4,4,,False,https://forvo.com/word/见/#zh
L1-0174,见面,見面,jiànmiàn,,1,4-4,4-4,,False,https://forvo.com/word/见面/#zh
L1-0175,教,教,jiāo,V,1,1,1,,False,https://forvo.com/word/教/#zh
L1-0176,叫,叫,jiào,V,1,4,4,,False,https://forvo.com/word/叫/#zh
L1-0177,教学楼,教學樓,jiàoxuélóu,N,1,4-2-2,4-2-2,,False,https://forvo.com/word/教学楼/#zh
L1-0178,姐姐,姐姐,jiějie,N,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/姐姐/#zh
L1-0179,介绍,介紹,jièshào,V,1,4-4,4-4,,False,https://forvo.com/word/介绍/#zh
L1-0180,今年,今年,jīnnián,N,1,1-2,1-2,,False,https://forvo.com/word/今年/#zh
L1-0181,今天,今天,jīntiān,N,1,1-1,1-1,,False,https://forvo.com/word/今天/#zh
L1-0182,进,進,jìn,V,1,4,4,,False,https://forvo.com/word/进/#zh
L1-0183,进来,進來,jìnlái,,1,4-2,4-2,,False,https://forvo.com/word/进来/#zh
L1-0184,进去,進去,jìnqù,,1,4-4,4-4,,False,https://forvo.com/word/进去/#zh
L1-0185,九,九,jiǔ,Num,1,3,3,,False,https://forvo.com/word/九/#zh
L1-0186,就,就,jiù,Adv,1,4,4,,False,https://forvo.com/word/就/#zh
L1-0187,觉得,覺得,juéde,V,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/觉得/#zh
L1-0188,开,開,kāi,V,1,1,1,,False,https://forvo.com/word/开/#zh
L1-0189,开车,開車,kāichē,,1,1-1,1-1,,False,https://forvo.com/word/开车/#zh
L1-0190,开会,開會,kāihuì,,1,1-4,1-4,,False,https://forvo.com/word/开会/#zh
L1-0191,开玩笑,開玩笑,kāi wánxiào,,1,1-2-4,1-2-4,,False,https://forvo.com/word/开玩笑/#zh
L1-0192,看,看,kàn,V,1,4,4,,False,https://forvo.com/word/看/#zh
L1-0193,看病,看病,kànbìng,,1,4-4,4-4,,False,https://forvo.com/word/看病/#zh
L1-0194,看到,看到,kàndào,,1,4-4,4-4,,False,https://forvo.com/word/看到/#zh
L1-0195,看见,看見,kànjiàn,,1,4-4,4-4,,False,https://forvo.com/word/看见/#zh
L1-0196,考,考,kǎo,V,1,3,3,,False,https://forvo.com/word/考/#zh
L1-0197,考试,考試,kǎoshì,,1,3-4,3-4,,False,https://forvo.com/word/考试/#zh
L1-0198,渴,渴,kě,Adj,1,3,3,,False,https://forvo.com/word/渴/#zh
L1-0199,课,課,kè,N,1,4,4,,False,https://forvo.com/word/课/#zh
L1-0200,课本,課本,kèběn,N,1,4-3,4-3,,False,https://forvo.com/word/课本/#zh
L1-0201,课文,課文,kèwén,N,1,4-2,4-2,,False,https://forvo.com/word/课文/#zh
L1-0202,口,口,kǒu,M/N,1,3,3,,False,https://forvo.com/word/口/#zh
L1-0203,块,塊,kuài,N/M,1,4,4,,False,https://forvo.com/word/块/#zh
L1-0204,快,快,kuài,Adj/Adv,1,4,4,,False,https://forvo.com/word/快/#zh
L1-0205,来,來,lái,V,1,2,2,,False,https://forvo.com/word/来/#zh
L1-0206,来到,來到,láidào,V,1,2-4,2-4,,False,https://forvo.com/word/来到/#zh
L1-0207,老,老,lǎo,Adj,1,3,3,,False,https://forvo.com/word/老/#zh
L1-0208,老人,老人,lǎorén,N,1,3-2,3-2,,False,https://forvo.com/word/老人/#zh
L1-0209,老师,老師,lǎoshī,N,1,3-1,3-1,,False,https://forvo.com/word/老师/#zh
L1-0210,了,了,le,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/了/#zh
L1-0211,累,累,lèi,Adj,1,4,4,,False,https://forvo.com/word/累/#zh
L1-0212,冷,冷,lěng,Adj,1,3,3,,False,https://forvo.com/word/冷/#zh
L1-0213,里,裡,lǐ,N,1,3,3,,False,https://forvo.com/word/里/#zh
L1-0214,里边,裡邊,lǐbian,N,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/里边/#zh
L1-0215,两,兩,liǎng,Num,1,3,3,,False,https://forvo.com/word/两/#zh
L1-0216,零,零,líng,Num,1,2,2,,False,https://forvo.com/word/零/#zh
L1-0217,六,六,liù,Num,1,4,4,,False,https://forvo.com/word/六/#zh
L1-0218,楼,樓,lóu,N,1,2,2,,False,https://forvo.com/word/楼/#zh
L1-0219,楼上,樓上,lóu shàng,,1,2-4,2-4,,False,https://forvo.com/word/楼上/#zh
L1-0220,楼下,樓下,lóu xià,,1,2-4,2-4,,False,https://forvo.com/word/楼下/#zh
L1-0221,路,路,lù,N/M,1,4,4,,False,https://forvo.com/word/路/#zh
L1-0222,路口,路口,lùkǒu,N,1,4-3,4-3,,False,https://forvo.com/word/路口/#zh
L1-0223,路上,路上,lùshang,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/路上/#zh
L1-0224,妈妈,媽媽,māma,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/妈妈/#zh
L1-0225,马路,馬路,mǎlù,N,1,3-4,3-4,,False,https://forvo.com/word/马路/#zh
L1-0226,马上,馬上,mǎshàng,Adv,1,3-4,3-4,,False,https://forvo.com/word/马上/#zh
L1-0227,吗,嗎,ma,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/吗/#zh
L1-0228,买,買,mǎi,V,1,3,3,,False,https://forvo.com/word/买/#zh
L1-0229,慢,慢,màn,Adj,1,4,4,,False,https://forvo.com/word/慢/#zh
L1-0230,忙,忙,máng,Adj,1,2,2,,False,https://forvo.com/word/忙/#zh
L1-0231,毛,毛,máo,M,1,2,2,,False,https://forvo.com/word/毛/#zh
L1-0232,没,沒,méi,Adv/V,1,2,2,,False,https://forvo.com/word/没/#zh
L1-0233,没关系,沒關係,méi guānxi,,1,2-1-N,2-1-N,neutral_tone,False,https://forvo.com/word/没关系/#zh
L1-0234,没什么,沒什麼,méi shénme,,1,2-2-N,2-2-N,neutral_tone,False,https://forvo.com/word/没什么/#zh
L1-0235,没事儿,沒事兒,méishìr,,1,2-4-N,2-4-N,neutral_tone,False,https://forvo.com/word/没事儿/#zh
L1-0236,没有,沒有,méiyǒu,V/Adv,1,2-3,2-3,,False,https://forvo.com/word/没有/#zh
L1-0237,妹妹,妹妹,mèimei,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/妹妹/#zh
L1-0238,门,門,mén,N/M,1,2,2,,False,https://forvo.com/word/门/#zh
L1-0239,门口,門口,ménkǒu,N,1,2-3,2-3,,False,https://forvo.com/word/门口/#zh
L1-0240,门票,門票,ménpiào,N,1,2-4,2-4,,False,https://forvo.com/word/门票/#zh
L1-0241,们（朋友们）,們（朋友們）,men (péngyoumen),Suffix,1,N,N,neutral_tone,False,https://forvo.com/word/们（朋友们）/#zh
L1-0242,米饭,米飯,mǐfàn,N,1,3-4,3-4,,False,https://forvo.com/word/米饭/#zh
L1-0243,面包,麵包,miànbāo,N,1,4-1,4-1,,False,https://forvo.com/word/面包/#zh
L1-0244,面条儿,麵條兒,miàntiáor,N,1,4-2-N,4-2-N,neutral_tone,False,https://forvo.com/word/面条儿/#zh
L1-0245,名字,名字,míngzi,N,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/名字/#zh
L1-0246,明白,明白,míngbai,Adj/V,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/明白/#zh
L1-0247,明年,明年,míngnián,N,1,2-2,2-2,,False,https://forvo.com/word/明年/#zh
L1-0248,明天,明天,míngtiān,N,1,2-1,2-1,,False,https://forvo.com/word/明天/#zh
L1-0249,拿,拿,ná,V,1,2,2,,False,https://forvo.com/word/拿/#zh
L1-0250,哪,哪,nǎ,Pron,1,3,3,,False,https://forvo.com/word/哪/#zh
L1-0251,哪里,哪裡,nǎlǐ,Pron,1,3-3,2-3,third_tone_sandhi,False,https://forvo.com/word/哪里/#zh
L1-0252,哪儿,哪兒,nǎr,Pron,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/哪儿/#zh
L1-0253,哪些,哪些,nǎxiē,Pron,1,3-1,3-1,,False,https://forvo.com/word/哪些/#zh
L1-0254,那,那,nà,Pron,1,4,4,,False,https://forvo.com/word/那/#zh
L1-0255,那边,那邊,nàbiān,Pron,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/那边/#zh
L1-0256,那里,那裡,nàlǐ,Pron,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/那里/#zh
L1-0257,那儿,那兒,nàr,Pron,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/那儿/#zh
L1-0258,那些,那些,nàxiē,Pron,1,4-1,4-1,,False,https://forvo.com/word/那些/#zh
L1-0259,奶,奶,nǎi,N,1,3,3,,False,https://forvo.com/word/奶/#zh
L1-0260,奶奶,奶奶,nǎinai,N,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/奶奶/#zh
L1-0261,男,男,nán,Adj,1,2,2,,False,https://forvo.com/word/男/#zh
L1-0262,男孩儿,男孩兒,nánháir,N,1,2-2-N,2-2-N,neutral_tone,False,https://forvo.com/word/男孩儿/#zh
L1-0263,男朋友,男朋友,nánpéngyou,N,1,2-2-N,2-2-N,neutral_tone,False,https://forvo.com/word/男朋友/#zh
L1-0264,男人,男人,nánrén,N,1,2-2,2-2,,False,https://forvo.com/word/男人/#zh
L1-0265,男生,男生,nánshēng,N,1,2-1,2-1,,False,https://forvo.com/word/男生/#zh
L1-0266,南,南,nán,N,1,2,2,,False,https://forvo.com/word/南/#zh
L1-0267,南边,南邊,nánbian,N,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/南边/#zh
L1-0268,难,難,nán,Adj,1,2,2,,False,https://forvo.com/word/难/#zh
L1-0269,呢,呢,ne,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/呢/#zh
L1-0270,能,能,néng,V,1,2,2,,False,https://forvo.com/word/能/#zh
L1-0271,你,你,nǐ,Pron,1,3,3,,False,https://forvo.com/word/你/#zh
L1-0272,你们,你們,nǐmen,Pron,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/你们/#zh
L1-0273,年,年,nián,M,1,2,2,,False,https://forvo.com/word/年/#zh
L1-0274,您,您,nín,Pron,1,2,2,,False,https://forvo.com/word/您/#zh
L1-0275,牛奶,牛奶,niúnǎi,N,1,2-3,2-3,,False,https://forvo.com/word/牛奶/#zh
L1-0276,女,女,nǚ,Adj,1,3,3,,False,https://forvo.com/word/女/#zh
L1-0277,女儿,女兒,nǚ'ér,N,1,3-2,3-2,,False,https://forvo.com/word/女儿/#zh
L1-0278,女孩儿,女孩兒,nǚháir,N,1,3-2-N,3-2-N,neutral_tone,False,https://forvo.com/word/女孩儿/#zh
L1-0279,女朋友,女朋友,nǚpéngyou,N,1,3-2-N,3-2-N,neutral_tone,False,https://forvo.com/word/女朋友/#zh
L1-0280,女人,女人,nǚrén,N,1,3-2,3-2,,False,https://forvo.com/word/女人/#zh
